Type	Item	Berkeley	Davis	Irvine	Los Angeles	Merced	Riverside	San Diego	Santa Barbara	Santa Cruz	Systemwide
Commuter	Books&Supplies	1202	1589	1553	1506	1385	1766	1456	1414	1400	1475
Commuter	Living	4386	4386	4386	4386	4386	4386	4386	4386	4386	4386
Commuter	Personal	1668	1668	1668	1668	1668	1668	1668	1668	1668	1668
Commuter	Transportation	1776	1776	1776	1776	1776	1776	1776	1776	1776	1776
Commuter	Healthcare	1626	1263	848	1225	1298	684	930	1293	1443	994
Commuter	Systemwide fees	12192	12192	12192	12192	12192	12192	12192	12192	12192	12192
Commuter	Campus fees	643	1668	930	494	878	731	1010	1406	1224	871
Commuter	Total	23493	24542	23353	23247	23583	23203	23418	24135	24089	23362 
On-Campus	Books&Supplies	1202	1589	1553	1506	1385	1766	1456	1414	1400	1475
On-Campus	Living	15272	12697	11611	13979	13720	12093	11684	13110	14727	13200
On-Campus	Personal	1105	1226	1338	1368	1578	1702	1378	1448	1350	1372
On-Campus	Transportation	593	564	953	790	887	1166	858	831	679	809
On-Campus	Healthcare	1626	1263	848	1225	1298	684	930	1293	1443	1167
On-Campus	Systemwide fees	12192	12192	12192	12192	12192	12192	12192	12192	12192	12192
On-Campus	Campus fees	643	1668	930	494	878	731	1010	1406	1224	958
On-Campus	Total	32633	31199	29425	31554	31938	30334	29508	31694	33015	31173 
Off-Campus	Books&Supplies	1202	1589	1553	1506	1385	1766	1456	1414	1400	1475
Off-Campus	Living	10182	8167	9541	10235	7040	8804	9669	9811	10142	9515
Off-Campus	Personal	1411	1387	1688	1628	1506	1772	1591	1512	1457	1529
Off-Campus	Transportation	906	1368	1956	1399	1708	1760	1738	1214	1352	1409
Off-Campus	Healthcare	1626	1263	848	1225	1298	684	930	1293	1443	1218
Off-Campus	Systemwide fees	12192	12192	12192	12192	12192	12192	12192	12192	12192	12192
Off-Campus	Campus fees	643	1668	930	494	878	731	1010	1406	1224	1029
Off-Campus	Total	28162	27634	28708	28679	26007	27709	28586	28842	29210	28367 
All Students	Books&Supplies	1202	1589	1553	1506	1385	1766	1456	1414	1400	1475
All Students	Living	11013	8769	8828	11049	9464	8737	10059	10672	12011	10119
All Students	Personal	1356	1373	1605	1534	1550	1723	1513	1496	1415	1495
All Students	Transportation	882	1247	1689	1208	1385	1571	1394	1112	1069	1264
All Students	Healthcare	1626	1263	848	1225	1298	684	930	1293	1443	1180
All Students	Systemwide fees	12192	12192	12192	12192	12192	12192	12192	12192	12192	12192
All Students	Campus fees	643	1668	930	494	878	731	1010	1406	1224	992
All Students	Total	28914	28101	27645	29208	28152	27404	28554	29585	30754	28717 
