Type	Item	Berkeley	Davis	Irvine	Los Angeles	Merced	Riverside	San Diego	Santa Barbara	Santa Cruz	Systemwide
Commuter	Books&Supplies	1213	1602	1567	1521	1398	1784	1474	1428	1406	1488
Commuter	Living	4422	4422	4422	4422	4422	4422	4422	4422	4422	4422
Commuter	Personal	1684	1684	1684	1684	1684	1684	1684	1684	1684	1684
Commuter	Transportation	1794	1794	1794	1794	1794	1794	1794	1794	1794	1794
Commuter	Healthcare	1782	1380	924	1318	1383	721	1156	1394	1563	1085
Commuter	Systemwide fees	12192	12192	12192	12192	12192	12192	12192	12192	12192	12192
Commuter	Campus fees	682	1685	930	500	878	768	1025	1479	1224	891
Commuter	Total	23769	24759	23513	23431	23751	23365	23747	24393	24285	23557
On-Campus	Books&Supplies	1213	1602	1567	1521	1398	1784	1474	1428	1406	1488
On-Campus	Living	15304	13503	11706	14232	14272	13240	11923	13275	14861	13571
On-Campus	Personal	1116	1237	1351	1382	1594	1717	1392	1461	1365	1384
On-Campus	Transportation	599	569	964	787	895	1175	866	838	684	810
On-Campus	Healthcare	1782	1380	924	1318	1383	721	1156	1394	1563	1295
On-Campus	Systemwide fees	12192	12192	12192	12192	12192	12192	12192	12192	12192	12192
On-Campus	Campus fees	682	1685	930	500	878	768	1025	1479	1224	977
On-Campus	Total	32888	32168	29634	31932	32612	31597	30028	32067	33295	31717
Off-Campus	Books&Supplies	1213	1602	1567	1521	1398	1784	1474	1428	1406	1488
Off-Campus	Living	10281	8247	9635	10336	7109	8890	9764	9907	10241	9600
Off-Campus	Personal	1425	1401	1705	1644	1521	1789	1606	1527	1471	1544
Off-Campus	Transportation	914	1381	1976	1413	1725	1777	1755	1226	1366	1426
Off-Campus	Healthcare	1782	1380	924	1318	1383	721	1156	1394	1563	1337
Off-Campus	Systemwide fees	12192	12192	12192	12192	12192	12192	12192	12192	12192	12192
Off-Campus	Campus fees	682	1685	930	500	878	768	1025	1479	1224	1055
Off-Campus	Total	28489	27888	28929	28924	26206	27921	28972	29153	29463	28642
All Students	Books&Supplies	1213	1602	1567	1521	1398	1784	1474	1428	1406	1488
All Students	Living	11129	9047	8937	11407	9724	9117	10151	10842	12304	10338
All Students	Personal	1368	1385	1618	1538	1566	1739	1532	1510	1425	1508
All Students	Transportation	887	1248	1699	1187	1399	1590	1425	1117	1053	1269
All Students	Healthcare	1782	1380	924	1318	1383	721	1156	1394	1563	1299
All Students	Systemwide fees	12192	12192	12192	12192	12192	12192	12192	12192	12192	12192
All Students	Campus fees	682	1685	930	500	878	768	1025	1479	1224	1015
All Students	Total	29253	28539	27867	29663	28540	27911	28955	29962	31167	29109 
