Type	Item	Berkeley	Davis	Irvine	Los	Angeles	Merced	Riverside	San	Diego	Santa Barbara	Santa Cruz	Systemwide
Commuter	Books&Supplies	1268	1544	1601	1551	1508	1700	1523	1549	1356	1564
Commuter	Living	4120	4120	4117	4116	4120	4100	4120	4117	4119	4115
Commuter	Personal	1798	1799	1799	1803	1799	1750	1803	1989	1800	1797
Commuter	Transportation	1890	1889	1889	1890	1889	1900	1889	1889	1890	1891
Commuter	Healthcare	1276	849	729	756	841	675	849	920	1044	804
Commuter	Systemwide fees	7126	7126	7126	7126	7126	7126	7126	7126	7126	7126
Commuter	Campus-based fees	530	1509	920	425	623	719	936	1260	1074	859
Commuter	Total	18008	18836	18181	17667	17906	17970	18246	18850	18409	18156
On-Campus	Books&Supplies	1268	1544	1601	1551	1508	1700	1523	1549	1356	1508
On-Campus	Living	14494	11978	10527	12891	11692	10850	10787	12485	13038	12201
On-Campus	Personal	1296	1308	1544	1503	1308	1700	1483	1945	1470	1523
On-Campus	Transportation	596	697	1399	879	1328	1300	1056	1168	840	985
On-Campus	Healthcare	1276	849	729	756	841	675	849	920	1044	882
On-Campus	Systemwide fees	7126	7126	7126	7126	7126	7126	7126	7126	7126	7126
On-Campus	Campus-based fees	530	1509	920	425	623	719	936	1260	1074	863
On-Campus	Total	26586	25011	23846	25131	24426	24070	23760	26453	25948	25089
Off-Campus	Books&Supplies	1268	1544	1601	1551	1508	1700	1523	1549	1356	1495
Off-Campus	Living	9528	7843	9245	9834	7843	9100	9624	9707	9675	9256
Off-Campus	Personal	1430	1437	1899	1791	1437	1950	1640	1794	1575	1650
Off-Campus	Transportation	1002	1413	2158	1530	2062	2050	2062	1522	1557	1584
Off-Campus	Healthcare	1276	849	729	756	841	675	849	920	1044	914
Off-Campus	Systemwide fees	7126	7126	7126	7126	7126	7126	7126	7126	7126	7126
Off-Campus	Campus-based fees	530	1509	920	425	623	719	936	1260	1074	928
Off-Campus	Total	22160	21721	23678	23013	21440	23320	23760	23878	23407	22953
All	Students	Books&Supplies	1268	1544	1601	1551	1508	1700	1523	1549	1356	1506
All	Students	Living	10433	8364	8303	10535	9184	8595	9452	10368	10986	9625
All	Students	Personal	1416	1439	1786	1678	1451	1825	1604	1844	1536	1626
All	Students	Transportation	948	1310	1903	1304	1586	1771	1705	1428	1248	1433
All	Students	Healthcare	1276	849	729	756	841	675	849	920	1044	893
All	Students	Systemwide fees	7126	7126	7126	7126	7126	7126	7126	7126	7126	7126
All	Students	Campus-based fees	530	1509	920	425	623	719	936	1260	1074	901
All	Students	Total	22997	22141	22368	23374	22319	22410	23195	24495	24370	23110
