Type	Item	Berkeley	Davis	Irvine	Los Angeles	Merced	Riverside	San Diego	Santa Barbara	Santa Cruz	Systemwide
Commuter	Books&Supplies	1315	1601	1661	1608	1564	1788	1577	1606	1405	1564
Commuter	Living	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358
Commuter	Personal	1866	1866	1866	1866	1866	1866	1866	1866	1866	1866
Commuter	Transportation	1959	1959	1959	1959	1959	1959	1959	1959	1959	1959
Commuter	Healthcare allowance	1522	1162	729	1018	883	677	915	1051	1321	911
Commuter	Systemwide fees	10302	10302	10302	10302	10302	10302	10302	10302	10302	10302
Commuter	Campus fees	638	1658	930	479	728	719	1004	1328	1209	914
Commuter	Total	21960	22906	21805	21590	21660	21669	21981	22470	22420	21874 
On-Campus	Books&Supplies	1315	1601	1661	1608	1564	1788	1577	1606	1405	1564
On-Campus	Living	15317	12498	11400	13743	12802	11699	11527	13113	14171	13011
On-Campus	Personal	1343	1356	1598	1559	1356	1796	1536	1661	1523	1544
On-Campus	Transportation	617	722	1445	911	1391	1391	1095	1224	871	1031
On-Campus	Healthcare allowance	1522	1162	729	1018	883	677	915	1051	1321	1046
On-Campus	Systemwide fees	10302	10302	10302	10302	10302	10302	10302	10302	10302	10302
On-Campus	Campus fees	638	1658	930	479	728	719	1004	1328	1209	932
On-Campus	Total	31054	29299	28065	29620	29026	28372	27956	30285	30802	29430
Off-Campus	Books&Supplies	1315	1601	1661	1608	1564	1788	1577	1606	1405	1564
Off-Campus	Living	10304	8352	9849	10486	8352	9668	10284	10348	10435	9889
Off-Campus	Personal	1484	1490	1969	1857	1490	2068	1700	1823	1636	1707
Off-Campus	Transportation	1038	1465	2238	1586	2138	2138	2138	1579	1613	1645
Off-Campus	Healthcare allowance	1522	1162	729	1018	883	677	915	1051	1321	1095
Off-Campus	Systemwide fees	10302	10302	10302	10302	10302	10302	10302	10302	10302	10302
Off-Campus	Campus fees	638	1658	930	479	728	719	1004	1328	1209	1009
Off-Campus	Total	26603	26030	27678	27336	25457	27360	27920	28037	27921	27211 
All Students	Books&Supplies	1315	1601	1661	1608	1564	1788	1577	1606	1405	1564
All Students	Living	11195	8852	8850	11246	10475	9329	10111	10997	11921	10303
All Students	Personal	1469	1492	1855	1738	1439	1927	1660	1776	1593	1672
All Students	Transportation	982	1359	1979	1348	1737	1828	1760	1485	1288	1486
All Students	Healthcare allowance	1522	1162	729	1018	883	677	915	1051	1321	1061
All Students	Systemwide fees	10302	10302	10302	10302	10302	10302	10302	10302	10302	10302
All Students	Campus fees	638	1658	930	479	728	719	1004	1328	1209	976
All Students	Total	27423	26426	26306	27739	27128	26570	27329	28545	29039	27364 
