Type	Item	Berkeley	Davis	Irvine	Los Angeles	Merced	Riverside	San Diego	Santa Barbara	Santa Cruz	Systemwide
Commuter	Books & supplies	1241	1576	1749	1611	1429	1690	1516	1403	1448	1524
Commuter	Living	4700	4700	4700	4700	4700	4700	4700	4700	4700	4700
Commuter	Personal	2032	2032	2032	2032	2032	2032	2032	2032	2032	2032
Commuter	Transportation	1659	1659	1659	1659	1659	1659	1659	1659	1659	1659
Commuter	Healthcare	2580	2115	1497	1938	2097	1653	1893	2772	2634	1818
Commuter	Systemwide fees	12240	12240	12240	12240	12240	12240	12240	12240	12240	12240
Commuter	Campus fees	1191	1704	1012	513	968	1257	1279	1720	1221	1131
Commuter	TOTAL BUDGET	25643	26026	24889	24693	25125	25231	25319	26526	25934	25104
On-Campus	Books & supplies	1241	1576	1749	1611	1429	1690	1516	1403	1448	1524
On-Campus	Living	15847	14517	12947	14832	15646	13800	12071	14594	14952	14199
On-Campus	Personal	1621	1538	1840	1650	1806	1943	1655	1713	1692	1700
On-Campus	Transportation	535	626	817	597	588	872	801	753	577	687
On-Campus	Healthcare	2580	2115	1497	1938	2097	1653	1893	2772	2634	2130
On-Campus	Systemwide fees	12240	12240	12240	12240	12240	12240	12240	12240	12240	12240
On-Campus	Campus fees	1191	1704	1012	513	968	1257	1279	1720	1221	1156
On-Campus	TOTAL BUDGET	35255	34316	32102	33381	34774	33455	31455	35195	34764	33636
Off-Campus	Books & supplies	1241	1576	1749	1611	1429	1690	1516	1403	1448	1524
Off-Campus	Living	10126	8283	9428	10238	6943	8662	9746	9461	9890	9391
Off-Campus	Personal	1775	1947	1980	1838	1846	1972	1946	1895	1774	1884
Off-Campus	Transportation	732	1371	1669	1104	1433	1656	1606	1012	1272	1247
Off-Campus	Healthcare	2580	2115	1497	1938	2097	1653	1893	2772	2634	2169
Off-Campus	Systemwide fees	12240	12240	12240	12240	12240	12240	12240	12240	12240	12240
Off-Campus	Campus fees	1191	1704	1012	513	968	1257	1279	1720	1221	1250
Off-Campus	TOTAL BUDGET	29885	29236	29575	29482	26956	29130	30226	30503	30479	29705
All Students	Books & supplies	1241	1576	1749	1611	1429	1690	1516	1403	1448	1524
All Students	Living	11308	9206	9034	11853	9633	9477	10430	11243	12272	10563
All Students	Personal	1747	1874	1960	1769	1850	1976	1817	1831	1741	1836
All Students	Transportation	716	1249	1464	921	1173	1395	1236	928	935	1097
All Students	Healthcare	2580	2115	1497	1938	2097	1653	1893	2772	2634	2121
All Students	Systemwide fees	12240	12240	12240	12240	12240	12240	12240	12240	12240	12240
All Students	Campus fees	1191	1704	1012	513	968	1257	1279	1720	1221	1206
All Students	TOTAL BUDGET	31023	29964	28956	30845	29390	29688	30411	32137	32491	30587
