Type	Item	Berkeley	Davis	Irvine	Los	Angeles	Merced	Riverside	San	Diego	Santa Barbara	Santa Cruz	Systemwide
Commuter	Books&Supplies	1239	1508	1564	1515	1474	1692	1487	1513	1325	1535
Commuter	Living	4002	4002	4002	4002	4002	4002	4002	4002	4002	4002
Commuter	Personal	1760	1760	1760	1760	1760	1760	1760	1760	1760	1760
Commuter	Transportation	 1845 1845	1845	1845	1845	1845	1845	1845	1845	1845
Commuter	Healthcare	1220	801	792	675	757	726	849	918	1044	811
Commuter	Systemwide fees	 6636 6636	6636	6636	6636	6636	6636	6636	6636	6636
Commuter	Campus fees	529	1488	920	402	512	726	820	1260	1010	835
Commuter	Total	17231	18040	17519	16835	16986	17387	17399	17934	17622	17423
On-Campus	Books&Supplies	1239	1508	1564	1515	1474	1692	1487	1513	1325	1475
On-Campus	Living	13847	11533	10266	12420	10714	10900	10237	11946	12482	11754
On-Campus	Personal	1265	1277	1508	1469	1277	1687	1447	1567	1435	1452
On-Campus	Transportation	 681 581	1366	860	1280	1280	1032	1147	821	960
On-Campus	Healthcare	1220	801	792	675	757	726	849	918	1044	866
On-Campus	Systemwide fees	 6636 6636	6636	6636	6636	6636	6636	6636	6636	6636
On-Campus	Campus fees	529	1488	920	402	512	719	820	1260	1010	830
On-Campus	Total	25317	23924	23052	23977	22650	23640	22508	24987	24753	23974
Off-Campus	Books&Supplies	1239	1508	1564	1515	1474	1692	1487	1513	1325	1463
Off-Campus	Living	9343	7609	8969	9537	7609	8814	9369	9415	9484	9006
Off-Campus	Personal	1397	1404	1855	1749	1404	1947	1601	1717	1541	1611
Off-Campus	Transportation	 1380 977	2108	1494	2014	2014	2014	1487	1520	1550
Off-Campus	Healthcare	1220	801	792	675	757	726	849	918	1044	894
Off-Campus	Systemwide fees	 6636 6636	6636	6636	6636	6636	6636	6636	6636	6636
Off-Campus	Campus fees	529	1488	920	402	512	719	820	1260	1010	901
Off-Campus	Total	21341	20826	22844	22008	20406	22548	22776	22946	22560	22061
All Students	Books&Supplies	1239	1508	1564	1515	1474	1692	1487	1513	1325	1474
All Students	Living	10143	8098	8051	10171	8278	8372	9112	9994	10615	9308
All Students	Personal	1383	1406	1747	1640	1429	1826	1565	1675	1502	1579
All Students	Transportation	 1280 925	1863	1276	1600	1753	1665	1399	1223	1403
All Students	Healthcare	1220	801	792	675	757	726	849	918	1044	877
All Students	Systemwide fees	 6636 6636	6636	6636	6636	6636	6636	6636	6636	6636
All Students	Campus fees	529	1488	920	402	512	726	820	1260	1010	873
All Students	Total	22074	21217	21573	22315	20686	21731	22134	23394	23354	22151
